div,year,hy,n0,n1,n2,n3,ton,mw0,mw1,mw2,mw3
IV,1974,1,2039891.4669,28137372.174,2499592.4924,398428.42057,300265.38096,0.0059038581,0.0087194813,0.0143806585,0.0173340125
IV,1974,2,4570057.0374,13504937.573,1381109.4581,36055.538816,163112.39389,0.0055807086,0.0084768699,0.0162358762,0.0195563939
IV,1975,1,1626230.2645,40646658.687,11527300.91,352149.5484,578687.60611,0.0072086241,0.009642779,0.0145864885,0.0195209713
IV,1975,2,8339342.9073,5999557.4841,2297055.4883,64395.00747,149589.32537,0.0054058534,0.0110346808,0.0161363697,0.0192362945
IV,1976,1,10474405.061,56140876.708,3325685.9901,201998.84238,530710.67463,0.0045862227,0.0077464691,0.0134405636,0.015208633
IV,1976,2,12029424.506,7938672.1494,243610.78335,7929.6564223,81666.140589,0.0026449771,0.0059414302,0.0104963892,0.0156991172
IV,1977,1,5816717.0422,16163938.424,7527926.9429,117537.23153,289733.85941,0.0057251769,0.0092986366,0.0138051947,0.0187736261
IV,1977,2,25850346.246,2119183.5183,1977911.0515,27920.21605,99583.846415,0.0023679982,0.0078314251,0.0108077101,0.0142318615
IV,1978,1,6187713.5765,38677007.247,1309195.3378,153556.05784,353302.01659,0.0044794965,0.0078389173,0.015067177,0.01737693
IV,1978,2,17046049.935,5904996.6293,958864.65816,23589.11474,103378.52631,0.0024322811,0.0083957178,0.0124647338,0.0164933165
IV,1979,1,4786637.8979,43654659.093,2206462.7864,109219.19498,366764.72269,0.0050935443,0.0071196373,0.0137234527,0.0139654522
IV,1979,2,11496197.186,6269113.7594,270402.39615,21631.338417,87715.763569,0.0030463126,0.0077851956,0.0130585353,0.0165230995
IV,1980,1,0,22119939.354,26369548.642,1761025.0256,311196.61743,0.0057482149,0.0051534017,0.0069214002,0.0083394532
IV,1980,2,4713523.9945,4437564.2923,339245.83258,18310.398239,60910.211604,0.0038710893,0.0085195667,0.0131847748,0.0210118207
IV,1981,1,1049518.0418,14362068.7,3729822.4082,240494.60103,216096.2984,0.0065897727,0.010461822,0.0146450204,0.0178854089
IV,1981,2,604546.7962,4048234.8212,308681.113,7804.3403595,46750.784948,0.0053767618,0.0094058806,0.0170175387,0.0217923106
IV,1982,1,1433637.1068,10628672.444,1371051.3437,79475.884714,141293.76505,0.0076349127,0.0099222365,0.0169279293,0.0211115582
IV,1982,2,2928109.0157,510706.388,60262.74717,3842.3073444,13834.994601,0.0031225334,0.0077199599,0.011381997,0.0164830954
IV,1983,1,7521597.2581,3763401.2531,1358551.3063,172684.00406,96014.578399,0.0046422445,0.0103100855,0.0142048099,0.0173650701
IV,1983,2,2299080.744,586708.75067,7014.3188096,0,14036.066524,0.0036122111,0.0095806808,0.015715315,0.0036771845
IV,1984,1,668443.09766,9063325.4246,488067.19563,5046.0446678,93056.578476,0.005344697,0.0090934889,0.0143057108,0.0167567649
IV,1984,2,2060121.3219,829065.15809,2160.1319966,0,13538.720548,0.0030865722,0.0086266014,0.0129588021,0.0030656441
IV,1985,1,241805.13331,2200359.0437,968544.0697,22968.231441,49741.298452,0.0079256716,0.0135219918,0.0181416256,0.0217966104
IV,1985,2,72101.946669,222127.9592,6406.9010449,0,5199.2783285,0.0102965047,0.0192980204,0.0265729736,0.0105176849
IV,1986,1,237819.30258,418428.51636,629220.3049,6287.3147304,17529.406672,0.0071443243,0.0124240728,0.0166967444,0.02001355
IV,1986,2,754425.03953,60121.674491,504.25188537,0,7412.3246457,0.0085477131,0.0158474208,0.0217002486,0.0085619185
IV,1987,1,63890.981589,3437618.9673,279627.04264,1471.7875886,34561.087354,0.0059121669,0.0089966626,0.0115598946,0.0161682382
IV,1987,2,340045.36498,1146333.0281,54607.429495,31591.619515,18499.838166,0.00686403,0.0127048211,0.0173820796,0.0206576895
IV,1988,1,5134615.9415,2053344.4479,2860927.0714,38074.201086,75649.968834,0.0044260703,0.0089707449,0.0118750694,0.0139051304
IV,1988,2,1910218.3425,667500.14879,61646.52615,5501.7904792,21025.082528,0.0053489502,0.0142904263,0.0191405237,0.0161058972
IV,1989,1,15160.33917,1892068.0344,3362610.7853,3850.7056258,50144.038472,0.0055775581,0.0086004215,0.0100292486,0.0162148862
IV,1989,2,530389.06598,431378.33461,18125.340077,9915.7163121,6478.94731,0.0047943947,0.0082390044,0.0124899489,0.0156862319
IV,1990,1,3300.1706562,4722538.9909,3699836.5438,390555.72131,72462.01769,0.0040502565,0.0070070856,0.0094125732,0.0115246774
IV,1990,2,348416.9286,69237.672812,2657.17979,584.43530288,2313.856658,0.0045484221,0.0099022668,0.0130824305,0.0149497031
IV,1991,1,1595305.6526,4506073.9045,2693866.3324,15250.371196,117955.68934,0.0057364425,0.0144401293,0.0161424421,0.016455434
IV,1991,2,703719.16497,90601.123325,1644.6988914,181.36116927,5221.8583956,0.0059427793,0.0111639629,0.0152577573,0.0179128877
IV,1992,1,284609.33818,10276593.501,1125456.4702,152596.27857,123159.3716,0.0060578989,0.010156729,0.0130286323,0.0156819625
IV,1992,2,1934177.8852,1864327.3534,246789.15738,5414.0382318,28691.707821,0.0038887318,0.0095060434,0.0136062773,0.0166142796
IV,1993,1,1626404.0495,7776617.6934,5012424.9384,1101607.7377,173667.90218,0.0078139838,0.0106728324,0.0126687493,0.013121736
IV,1993,2,8790489.3776,2384307.6959,320238.56724,30811.231866,46825.121201,0.0023676696,0.0091105463,0.0119941673,0.0145663113
IV,1994,1,3598030.0619,43772887.83,1628551.3684,194403.07089,367229.5948,0.0073756807,0.0072728988,0.0119784873,0.0145107197
IV,1994,2,4322501.8138,4088862.8183,541626.62644,16695.869349,53829.131629,0.0035981712,0.0079797801,0.0099086492,0.0168314672
IV,1995,1,897165.60136,31817485.987,4591610.2291,618815.3936,354321.74237,0.0046987413,0.0088396395,0.0130098468,0.0147285781
IV,1995,2,2226448.5522,5081260.1997,473278.55572,91974.534184,76441.948204,0.0080891623,0.0099459552,0.0134239712,0.01675008
IV,1996,1,1255708.0332,1121606.6431,2512563.1812,855850.81084,76029.310796,0.0076639491,0.0117408243,0.015281506,0.0173284068
IV,1996,2,1853124.3905,284614.09251,197468.44894,58828.157226,9676.3018503,0.0029488056,0.0063936585,0.0087294996,0.0113597342
IV,1997,1,206911.68792,6732932.9984,921421.10944,371057.3401,107204.14115,0.0059603166,0.0124080043,0.0164556855,0.019546545
IV,1997,2,741001.98588,824790.72006,173440.9514,35690.45293,15916.893089,0.0069123757,0.0098135315,0.0124405814,0.0152139567
IV,1998,1,5584127.9895,6534542.3265,2425459.8599,369311.23053,163448.47591,0.0051174808,0.0134799938,0.0164557155,0.0185870395
IV,1998,2,1917775.2475,1102819.6641,442118.54401,219929.30731,22021.437745,0.0043263012,0.0064951008,0.0098881315,0.0099573507
IV,1999,1,132946.14567,18074037.961,535035.27529,49913.447126,189145.77226,0.0047004057,0.0100147177,0.0125217928,0.0162429609
IV,1999,2,2240415.9871,3318917.7982,562072.24229,139306.69467,49592.162455,0.0042362747,0.0095138583,0.011747655,0.0137997716
IV,2000,1,100007.96852,10895096.261,1537794.8443,79848.219179,162457.87054,0.0065331464,0.0125463346,0.0154028122,0.0177772076
IV,2000,2,3389148.3204,2895597.7212,1080078.2622,126031.2479,61674.061447,0.0042495478,0.0106371968,0.0134316176,0.0155792521
IV,2001,1,663193.58922,9169237.7308,1493220.6975,356751.21596,133934.82955,0.0050493548,0.0113603101,0.0137351315,0.0166376361
IV,2001,2,276182.23478,638850.93928,52603.91477,10915.557478,11016.854713,0.0067210514,0.0127538219,0.015608948,0.0175654683
IV,2002,1,1162167.124,10820957.135,822864.20795,104213.90925,147498.37529,0.0082474179,0.0114660742,0.0147826863,0.0160726649
IV,2002,2,1320702.5033,1210326.1605,269147.621,54840.754623,23585.477549,0.0048834414,0.0104141136,0.0137486015,0.0151534511
IV,2003,1,3098616.2227,10916457.019,1332398.3226,210239.52964,167406.59245,0.0056537572,0.0115350244,0.0147979783,0.0190699477
IV,2003,2,875901.0941,47417.703898,34565.702845,26847.082243,5712.0641892,0.004907761,0.0116691173,0.0135744435,0.0145571886
IV,2004,1,25837411.631,7725048.7868,730393.36834,92386.70234,206704.67581,0.0042599219,0.0109518854,0.0143794941,0.0165440359
IV,2004,2,6700272.3777,320877.09077,39731.152898,13906.373048,26627.545105,0.0034035871,0.009931912,0.011462173,0.0129621384
IV,2005,1,1049642.7207,20284434.514,498744.39551,79603.669189,216420.67489,0.0068031178,0.0099382513,0.012773314,0.0161316772
IV,2005,2,1273576.6606,5247577.9446,185227.01145,28515.984565,52206.344853,0.0055793713,0.0081070785,0.0115818263,0.0144758984
IV,2006,1,362401.26,2642611.6605,2186389.3946,390955.9804,71676.629147,0.0077944663,0.0115552243,0.0145290549,0.016729244
IV,2006,2,194391.67102,140911.64032,168151.70907,10520.194167,4573.124247,0.0042238581,0.0099279306,0.0131186743,0.0139876636
IV,2007,1,750664.47607,5924897.6644,1561199.8533,223112.51902,92189.378753,0.006658867,0.0107087089,0.0129740716,0.0156244611
IV,2007,2,500730.8263,318047.86468,18358.16346,20732.730888,5405.1971593,0.0047151474,0.0080386189,0.0119961117,0.0128919501
IV,2008,1,2238048.4604,2355568.5893,2238139.3339,453538.49429,63584.552841,0.0045795991,0.0085247465,0.0120087897,0.0139338299
IV,2008,2,1405970.8389,182894.28064,83591.365224,22078.47349,7562.3903345,0.0037454398,0.0072593739,0.0090639915,0.0095587115
IV,2009,1,294264.44097,12735152.262,571308.9235,116921.779,133469.43467,0.0046207099,0.0096334684,0.0134271919,0.0150182641
IV,2009,2,326214.72643,3689101.681,470661.10236,71282.483533,37318.212394,0.0058177631,0.0079360719,0.0108775213,0.014362156
IV,2010,1,445664.54753,5130640.7329,3261703.4784,1820947.2352,115756.18761,0.0049195421,0.0091191513,0.0115681921,0.0152687375
IV,2010,2,450146.11566,2723988.3902,574461.60191,84096.041474,28712.194417,0.0048423971,0.0072940816,0.0096904301,0.0130402642
IV,2011,1,496234.24188,6805305.7889,3307539.6923,847821.50544,113815.84558,0.0046285111,0.0089186512,0.0115498508,0.0148358671
IV,2011,2,143474.5355,496767.19147,154627.38997,63086.644864,8355.574049,0.0047509518,0.0095731974,0.0124354852,0.0157785602
IV,2012,1,211068.59178,6545804.9291,1904983.0174,255115.45869,86401.499951,0.0059265662,0.0088313225,0.0122590164,0.0155956115
IV,2012,2,115296.89163,476486.29565,78492.261073,31075.035052,5337.0976911,0.0041444785,0.0072708302,0.0118777489,0.0148830041
IV,2013,1,505086.54253,4541594.4961,791630.88052,69110.289478,58687.843309,0.0052437515,0.0098728409,0.0128152334,0.0152789993
IV,2013,2,5792202.7231,46444.987309,44158.214481,47216.189422,13562.837115,0.0020756506,0.0086729769,0.0119263476,0.0129359359
IV,2014,1,1332478.7719,14376507.319,764670.5312,51012.521321,144510.35788,0.0048509407,0.0088668124,0.0128548252,0.0145590177
IV,2014,2,4469381.422,2211450.4754,126937.86157,13362.697741,49689.706067,0.0064912046,0.0085856316,0.0118562969,0.0139436686
IV,2015,1,439812.69895,24542181.764,3495171.9589,259066.76073,253070.39993,0.0052773019,0.0084531537,0.0112797013,0.0147750246
IV,2015,2,659396.98985,2738046.7487,822328.14472,92645.15222,35566.097994,0.0043072868,0.0080802187,0.011189247,0.0151182942
IV,2016,1,7305672.934,14171803.853,4456831.6607,466206.64014,212544.24301,0.0044573771,0.0084291412,0.0120030239,0.0150583329
IV,2016,2,686071.28316,44463.047002,7281.487393,1400.486834,6137.8815648,0.0077519745,0.0144412549,0.0198237715,0.0235816203
IV,2017,1,2225693.2382,12734698.276,718603.32968,113348.57888,123908.06844,0.0037204997,0.0082844517,0.011684766,0.0152252681
IV,2017,2,2668676.1773,912001.55288,93347.28261,36479.68268,21669.408379,0.0051496092,0.0069912382,0.0116522629,0.0126931423
IV,2018,1,7516142.8849,13825782.646,3353368.9092,433399.48988,168584.34062,0.0042552947,0.0071278419,0.009644128,0.0130341427
IV,2018,2,664544.92562,1270176.4927,228132.34395,11947.834609,14409.580642,0.0051444459,0.0068245737,0.0094502556,0.0139391944
IV,2019,1,3783363.3765,11931034.63,3372860.7594,202094.46179,130518.36936,0.0037582956,0.0068464929,0.0094634004,0.0133116098
IV,2019,2,3010570.3021,216666.60991,7660.5149287,490.50323681,21259.347124,0.0064263509,0.0083626405,0.0120219289,0.0170577346
IV,2020,1,672471.30854,11552901.192,2942971.0582,349444.83709,160531.86288,0.0059610693,0.0097311037,0.0129601096,0.0170537498
IV,2020,2,47669.447621,106722.33903,9172.5878889,1970.5666818,1151.0247384,0.0048843936,0.0075202345,0.0097145339,0.0134499185
IV,2021,1,1107782.5588,6664182.7428,1583924.4862,287846.24557,79228.811262,0.0060062938,0.0074924431,0.0116213403,0.0146992174
IV,2021,2,2527765.9473,266030.86672,14607.822522,112.43808496,20100.832717,0.0069087543,0.0090598381,0.0154069784,0.0165423124
IV,2022,1,1326932.0836,5528283.7301,783423.45684,110163.00894,70002.267283,0.0069541443,0.0087445648,0.0134684198,0.0170640675
IV,2022,2,75477.639824,21189.21843,1252.4407158,236.70734484,901.4050773,0.0076986246,0.0137785935,0.0185166239,0.0218939644
IV,2023,1,1159422.2604,6630105.6973,2108726.9335,110287.15427,90459.394923,0.0052699615,0.0090157643,0.0109852584,0.0127687291
IV,2023,2,1832865.2885,335440.75993,43674.524182,1902.7532117,7836.8918095,0.0031858695,0.0049480312,0.0073190512,0.0095623674
IV,2024,1,9496982.5107,2909621.8942,633708.6724,56009.366221,77034.653191,0.0045953444,0.0086961018,0.0115366013,0.0138765065
IV,2024,2,0,0,0,0,0,0.0049929278,0.0049929278,0.0049929278,0.0049929278
IV,2025,1,0,0,0,0,0,0.0057482149,0.0057482149,0.0057482149,0.0057482149
