div,year,n0,n1,n2,n3,ton,mw0,mw1,mw2,mw3
IV,1974,6609948.5043,41642309.747,3880701.9505,434483.95938,463377.77484,0.0056804355,0.0086408004,0.015040915,0.0175184362
IV,1975,9965573.1718,46646216.171,13824356.399,416544.55587,728276.93149,0.0057000382,0.0098218031,0.0148440168,0.0194769622
IV,1976,22503829.568,64079548.857,3569296.7735,209928.49881,612376.81522,0.0035485297,0.0075228468,0.0132396185,0.0152271601
IV,1977,31667063.289,18283121.942,9505837.9944,145457.44758,389317.70583,0.0029846565,0.0091285732,0.0131814982,0.017901845
IV,1978,23233763.511,44582003.876,2268059.9959,177145.17258,456680.54289,0.0029775041,0.0079126669,0.0139669456,0.0172592657
IV,1979,16282835.084,49923772.852,2476865.1826,130850.5334,454480.48626,0.0036481339,0.0072032139,0.0136508628,0.0143882655
IV,1980,4713523.9945,26557503.646,26708794.475,1779335.4238,372106.82904,0.0038710893,0.0057158632,0.0070009554,0.0084698592
IV,1981,1654064.838,18410303.521,4038503.5212,248298.94139,262847.08334,0.0061464274,0.0102296314,0.0148263627,0.0180082076
IV,1982,4361746.1225,11139378.832,1431314.0909,83318.192059,155128.75965,0.0046056813,0.0098212688,0.0166944284,0.0208981117
IV,1983,9820678.0021,4350110.0038,1365565.6251,172684.00406,110050.64492,0.0044011074,0.0102117091,0.0142125688,0.0173650701
IV,1984,2728564.4196,9892390.5827,490227.32762,5046.0446678,106595.29902,0.0036397671,0.0090543598,0.0142997757,0.0167567649
IV,1985,313907.07997,2422487.0029,974950.97074,22968.231441,54940.576781,0.008470233,0.01405162,0.0181970323,0.0217966104
IV,1986,992244.34212,478550.19085,629724.55679,6287.3147304,24941.731317,0.0082113514,0.0128541581,0.016700751,0.02001355
IV,1987,403936.34657,4583951.9954,334234.47213,33063.407103,53060.92552,0.006713473,0.0099239813,0.0125111267,0.0204578457
IV,1988,7044834.284,2720844.5967,2922573.5976,43575.991565,96675.051361,0.0046763107,0.0102758132,0.0120283214,0.0141829935
IV,1989,545549.40515,2323446.369,3380736.1254,13766.421938,56622.985782,0.0048161581,0.0085333197,0.0100424413,0.0158341056
IV,1990,351717.09925,4791776.6637,3702493.7236,391140.15661,74775.874348,0.0045437478,0.0070489189,0.009415207,0.011529795
IV,1991,2299024.8175,4596675.0278,2695511.0313,15431.732365,123177.54774,0.0057996011,0.0143755555,0.0161419023,0.0164725627
IV,1992,2218787.2234,12140920.855,1372245.6276,158010.3168,151851.07943,0.0041669762,0.0100568115,0.0131325179,0.0157139073
IV,1993,10416893.427,10160925.389,5332663.5056,1132418.9696,220493.02338,0.0032180102,0.0103062348,0.0126282391,0.0131610405
IV,1994,7920531.8757,47861750.648,2170177.9949,211098.94024,421058.72643,0.0053141661,0.0073332882,0.0114619032,0.0146942682
IV,1995,3123614.1536,36898746.187,5064888.7849,710789.92778,430763.69058,0.0071153643,0.0089919882,0.0130485438,0.0149901556
IV,1996,3108832.4236,1406220.7357,2710031.6302,914678.96807,85705.612646,0.0048533288,0.0106585769,0.0148040892,0.0169445278
IV,1997,947913.67381,7557723.7184,1094862.0608,406747.79303,123121.03424,0.0067045591,0.0121248638,0.0158196387,0.0191663781
IV,1998,7501903.237,7637361.9906,2867578.4039,589240.53784,185469.91366,0.0049152249,0.0124713893,0.0154431361,0.0153660773
IV,1999,2373362.1328,21392955.759,1097107.5176,189220.14179,238737.93471,0.0042622735,0.009937014,0.012125185,0.0144442484
IV,2000,3489156.2889,13790693.982,2617873.1065,205879.46708,224131.93199,0.0043150015,0.0121454777,0.0145895396,0.0164317064
IV,2001,939375.824,9808088.67,1545824.6123,367666.77344,144951.68427,0.0055408438,0.0114510766,0.0137988969,0.0166651823
IV,2002,2482869.6274,12031283.296,1092011.829,159054.66387,171083.85284,0.0064580319,0.0113602488,0.0145278159,0.0157557274
IV,2003,3974517.3168,10963874.723,1366964.0254,237086.61188,173118.65664,0.0054893552,0.0115356043,0.0147670394,0.0185589344
IV,2004,32537684.009,8045925.8775,770124.52124,106293.07539,233332.22092,0.0040835825,0.0109112081,0.0142289879,0.0160754146
IV,2005,2323219.3813,25532012.459,683971.40696,108119.65375,268627.01975,0.0061322664,0.0095618915,0.012450646,0.0156949743
IV,2006,556792.93102,2783523.3008,2354541.1036,401476.17457,76249.753394,0.0065478691,0.011472845,0.0144283313,0.0166574042
IV,2007,1251395.3024,6242945.5291,1579558.0168,243845.24991,97594.575912,0.0058811109,0.0105726808,0.0129627054,0.0153921317
IV,2008,3644019.2993,2538462.87,2321730.6992,475616.96778,71146.943175,0.0042577557,0.0084335774,0.0119027654,0.0137307338
IV,2009,620479.1674,16424253.943,1041970.0259,188204.26253,170787.64706,0.0052500564,0.009252211,0.0122754977,0.0147697627
IV,2010,895810.66319,7854629.123,3836165.0803,1905043.2767,144468.38202,0.0048807767,0.0084862164,0.0112869993,0.015170364
IV,2011,639708.77738,7302072.9804,3462167.0823,910908.15031,122171.41963,0.0046559722,0.0089631806,0.0115894051,0.014901155
IV,2012,326365.4834,7022291.2248,1983475.2785,286190.49374,91738.597642,0.0052969985,0.0087254378,0.0122439284,0.0155182354
IV,2013,6297289.2656,4588039.4834,835789.09501,116326.4789,72250.680424,0.0023297544,0.0098606946,0.0127682699,0.0143279645
IV,2014,5801860.1939,16587957.795,891608.39277,64375.219062,194200.06395,0.0061144949,0.0088293263,0.0127126652,0.0144312865
IV,2015,1099209.6888,27280228.513,4317500.1036,351711.91295,288636.49793,0.0046954065,0.0084157232,0.011262473,0.0148654459
IV,2016,7991744.2171,14216266.9,4464113.1481,467607.12698,218682.12457,0.0047402101,0.0084479448,0.0120157804,0.0150838602
IV,2017,4894369.4155,13646699.829,811950.61229,149828.26156,145577.47681,0.0044997279,0.008198027,0.0116810292,0.0146087546
IV,2018,8180687.8105,15095959.139,3581501.2531,445347.32449,182993.92126,0.0043275235,0.0071023248,0.0096317789,0.0130584236
IV,2019,6793933.6785,12147701.24,3380521.2744,202584.96503,151777.71648,0.0049405809,0.0068735349,0.0094691982,0.01332068
IV,2020,720140.75616,11659623.531,2952143.6461,351415.40377,161682.88761,0.0058897991,0.0097108673,0.0129500253,0.0170335413
IV,2021,3635548.5061,6930213.6095,1598532.3087,287958.68365,99329.643979,0.0066337669,0.0075526109,0.0116559345,0.0146999371
IV,2022,1402409.7234,5549472.9485,784675.89755,110399.71628,70903.67236,0.0069942122,0.008763786,0.0134764774,0.0170744233
IV,2023,2992287.5489,6965546.4572,2152401.4576,112189.90748,98296.286732,0.003993393,0.0088198739,0.0109108671,0.0127143489
IV,2024,9496982.5107,2909621.8942,633708.6724,56009.366221,77034.653191,0.0045953444,0.0086961018,0.0115366013,0.0138765065
IV,2025,0,0,0,0,0,0.0057482149,0.0057482149,0.0057482149,0.0057482149
